seed	result	game_min	js_errors	kind
259	defeat	37.2	0	
320	defeat	35.4	0	
340	win	30.5	0	
250	win	23	0	
70	timeout	45	0	
352	win	25.3	0	
43	win	25.2	0	
268	win	26.3	0	
297	win	23.7	0	
174	win	25.6	0	
131	win	24.7	0	
27	win	21.4	0	
284	win	24.2	0	
307	win	27.1	0	
249	win	24.1	0	
225	win	27.5	0	
293	win	31.1	0	
52	win	41.5	0	
387	win	39.5	0	
372	win	33.8	0	
63	win	28.1	0	
