seed	batch	job	kind
140	5a696f41d4c5c11557334c58	2dc8550466bc2ddabe10c8bc3951c3d8	target
215	9b5fc1a40bd21a27dc652648	cfedddf23e99d95aa2c248b20c0ece62	target
230	03f536920e950da04fd94c77	0292f0c73a14a4cf8b23fdfcebf6094e	regress-check
316	2820acb74eb74c1da3656b4b	e03f7aee5f2875fd46203ec78738abe3	regress-check
373	f31bbcc382b05cb8e8d36884	536a67e74e7976a3622c7d7367e08c15	regress-check
66	acf9cd9aeb819369596e693c	b3996345542d930a2f7e3519de3764d5	won
152	ad07906e99715f2d4b6e3a75	d3879ecd7d46cd4188e4f39ed2e56c8d	won
170	a678c42c7e6c96670a5a30f9	8e0f44ae9207a3eec755b5f120f911d5	borderline
263	5f7ee1dd5deaf3938340d1c7	47c78db4d0e38c089d354fb8f056afae	borderline
70	d30ddd58e819f1251f702c95	05b1aac7d59c64e6bccefc1e51aa4e6f	borderline
52	17fb4f55f2b10515b00867c9	dfc8c6b83de362194456a371ff121c4c	borderline
320	6249518fb3c2a9fe3929040e	bfabc350f49f111ca4ec471da99d3492	borderline
