seed	batch	job	kind
140	93b4853280b6631dc38ac640	773589528bb8d6b03ba3322411bcbf40	target
215	2872b02b6bd6a83ef57633f6	0c45b92a258f0df18d46361b33fe218e	target
230	12fcbcd43d75e48d910dadf6	1366db0dfdc8eda5b9d33a48c47c8e8f	regress-check
316	56ccbafee47b383b54ad3e0f	40b4bedf76663582530bbd4afa5733b2	regress-check
373	7cd7ef75cd3d71f3bdb7a947	fcafc51aeec7012f7dcc65028fa2d63d	regress-check
263	87a10ffbbc4866cbe019bf46	8814234ff9f0aa4bbafaef738cbabdb3	borderline
66	754df318edf7a54144326be9	9e9173a8350728e379efc5ec8256f782	won
152	e240e2dcf775a35d77332192	cc0400746bed5e60de12d880bfec3db2	won
