seed	result	game_min	js_errors	kind
1	win	39.4	0	
152	timeout	45.0	0	
162	timeout	45.0	0	
170	timeout	45.0	0	
230	timeout	45.0	0	
25	win	22.0	0	
267	timeout	45.0	0	
3	win	25.5	0	
316	timeout	45.0	0	
