seed	verdict	end_min	js_errors	failed_ai	harness	pop_limit	will	wonderord	poptech	fortress	assembly	carnyx	focus	razed	level	warbuy	corral	tier3	stable	cavbatch	cavtech	hero	champ	cav
159	win	31.5	0	0	1	300	0	0	0	1	1	2	0	0	0	9	0	3	1	7	2	1	2	31
160	win	33.1	0	0	1	300	0	0	0	1	1	4	0	11	0	13	0	2	1	13	1	2	4	61
161	win	38.5	0	0	1	300	0	0	0	1	2	2	0	1	0	5	0	1	2	11	2	1	2	41
162	win	37.2	0	0	1	300	0	0	0	1	1	6	0	3	0	13	0	4	1	10	2	3	11	51
163	win	28.0	0	0	1	300	0	0	0	1	1	2	0	1	0	0	0	0	1	5	0	1	2	16
164	win	25.0	0	0	1	300	0	0	0	1	1	3	0	2	0	4	0	1	1	7	2	2	8	26
165	win	22.3	0	0	1	300	0	0	0	1	1	2	0	1	0	5	0	1	1	6	1	1	1	21
166	win	23.0	0	0	1	300	0	0	0	1	1	2	0	1	1	5	0	0	1	5	1	1	2	16
167	win	34.8	0	0	1	300	0	0	0	1	1	2	0	2	0	8	0	2	1	10	2	1	7	41
168	win	28.0	0	0	1	300	0	0	0	1	1	2	0	1	0	5	0	0	1	7	2	2	17	26
169	win	30.6	0	0	1	300	0	0	0	1	1	2	0	0	0	6	0	0	1	4	1	1	0	11
170	timeout	45.0	0	0	1	300	0	0	0	1	1	2	0	2	2	9	0	2	1	12	2	3	7	51
171	win	26.8	0	0	1	300	0	0	0	1	1	2	0	4	0	6	0	2	1	9	0	1	2	36
172	win	28.8	0	0	1	300	0	0	0	1	1	2	0	6	0	11	0	1	1	3	0	1	17	6
173	win	34.9	0	0	1	300	0	0	0	1	1	4	0	5	1	13	0	4	2	5	0	2	4	16
174	win	20.8	0	0	1	300	0	0	0	0	1	0	0	0	0	3	0	0	1	3	0	1	0	6
175	win	25.8	0	0	1	300	0	0	0	1	1	2	0	0	0	9	0	1	1	7	2	1	1	26
176	timeout	45.0	0	0	1	300	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	5	0
177	win	24.7	0	0	1	300	0	0	0	1	1	0	0	3	0	0	0	0	1	0	0	0	0	0
178	win	26.4	0	0	1	300	0	0	0	0	2	1	0	3	0	3	0	0	1	7	1	1	1	31
179	win	32.1	0	0	1	300	0	0	0	1	1	2	0	0	0	0	0	1	1	8	2	1	2	36
