seed	batch	job	kind
27	8a4c486aa1ed38fd84884347	de0e4b9cb0490521be3e063f8446127f	won-mid
43	daced70bd28d29d354f21f0f	e656de1454310fe250ab20db5bfc2b32	won-fast
52	9163e0158706275fc3344e6a	bb5ebc28542701bb58598049fdb95096	won-slow
63	a67a083b81478d14320a4e58	9b15de9c48db914c633254d5e2f0ce23	won-slow
70	1222ff377d8aece2b324a968	0e8a8bae23e9fa3c30f64d61e84a381b	won-slow
131	558b52123b9df350e322c258	19bda5da48be70b8723efa38d16f5a82	won-fast
174	8136bde6585a3d7345ea7bbf	e4fe53c9a5fe0a75264d2f271c5e1fbf	won-fast
225	e7958bc42c79c31720469c9e	d8881743b1ce7e1a059b8c4f5d684d85	won-mid
249	0d5a770cefe1ee14222b389f	f9d2b2f31808f96b492f2fa2f772a681	won-mid
250	c6df09f7f170462ed9f6fcf7	fe93b93f0b65fcb574c3128203239c0a	won-fast
259	02bd501597d53ce2cf32cc75	22dc91036090af50f102b890be24f625	won-mid
268	eaaee3d76bf877f43d26ec8c	ab0988c0347072bdda5c62f5f388de95	won-fast
284	c2d29c679d63e708457fccfa	f545d470c80b8b6688da8047c1fe50b4	won-mid
293	339279074839261cb65ff3af	25dbeb2769fd2a4b0aef0ff6a249f4b2	won-mid
297	da5dfe879a297afa2a7d8068	32a629d917dfdfd82f100bb643cbf490	won-fast
307	45ee48903b3fac5b72c06302	41779294eddccbaa3a4aa586a9bc3f90	won-mid
320	b72bc30163e8206e1fbd75cd	f9505778fe70746c2d7eb22840c19438	won-slow
340	21eb438957c2c7e94222a2b6	94292797a07c082822bfdae9ecd4b15d	won-race
352	b1bfa9f4e65a796091888638	ea5ca677a65986fda1839b7591f0c0e4	won-race
372	9f5fa58b0870e16a1c226c76	2df221e70d57138b7dc0f3192265601c	won-slow
387	2ff9b2ea2b4b070a326e2b17	ec493d28c969afa7914f3c084c3d1ade	won-slow
