seed	batch	job	kind
140	d850adc8ff5015e179a354f6	cd127c76a4c312bfe0ee6ffb7006b49a	target
215	b018d1d88662767e326c6f31	7f96cf7be2804783fe8fd97c132b4b58	target
263	a29e6b1688dc9b0817088a09	d96aa2c4f4bee830382d666586e9c814	borderline
230	efb3c15cc0c44d81a5da5a44	0252cc5a4ac60a1d75df5e90e4cbb8c8	regress-check
373	967c7efd50fa9f36b8005e33	32d799ebcca759e1257180cdb7eca4ab	regress-check
316	80e94cc4c76edad3b3d64ce5	15d0580fe39a5289fa8ef7cdd1ae92e4	regress-check
66	a00639e8dedd0271e006c2bc	ee10d72e19090f32638c1cd8a96e36c9	won
152	48acecc99d4bb27034481e6f	cc2b2b92b5a0594acc21378cce7a5558	won
