seed	result	game_min	wood10	wood_total	js_errors	failed_ai	harness
157	win	21.1	6348	31933	0	0	1
158	win	26.9	5714	36511	0	0	1
159	win	33.2	5410	30292	0	0	1
160	win	26.2	5321	34186	0	0	1
161	win	24.6	6439	39878	0	0	1
162	win	24.4	5544	33057	0	0	1
163	win	30.2	6256	43647	0	0	1
164	win	28.6	6018	39960	0	0	1
165	win	23.8	6501	31730	0	0	1
166	win	28.2	5547	39392	0	0	1
167	win	23.6	6608	29171	0	0	1
168	win	28.1	5461	33418	0	0	1
169	win	28.4	4721	33327	0	0	1
170	win	33.4	5657	31230	0	0	1
171	timeout	45.0	5743	40897	0	0	1
172	win	24.0	6223	31672	0	0	1
173	win	33.0	4632	44355	0	0	1
174	win	23.0	6160	31667	0	0	1
175	win	21.4	6498	28931	0	0	1
176	win	30.4	5695	37160	0	0	1
177	win	24.8	6060	33513	0	0	1
178	win	25.3	4987	31696	0	0	1
179	win	30.5	5693	35020	0	0	1
180	win	27.3	5609	34188	0	0	1
181	win	23.0	6912	33858	0	0	1
182	win	25.6	6044	29308	0	0	1
183	win	24.9	6375	32691	0	0	1
184	win	38.0	5414	43722	0	0	1
185	win	24.2	6314	32757	0	0	1
186	win	24.5	5893	33719	0	0	1
187	win	24.5	5931	33400	0	0	1
188	win	25.8	5744	34575	0	0	1
189	win	28.6	6311	39602	0	0	1
190	win	31.9	5441	37990	0	0	1
191	win	29.1	5745	41020	0	0	1
192	win	26.2	5218	33955	0	0	1
193	win	29.2	5117	34837	0	0	1
194	win	35.1	4989	36934	0	0	1
195	win	23.7	6249	32158	0	0	1
196	win	30.7	5301	36232	0	0	1
197	win	28.0	5582	38113	0	0	1
198	win	28.0	6140	32018	0	0	1
199	win	32.3	4877	30959	0	0	1
200	win	24.3	3727	30026	0	0	1
201	win	25.1	5555	33751	0	0	1
202	win	23.0	5978	33295	0	0	1
203	win	22.2	5837	30092	0	0	1
204	timeout	45.0	5662	44356	0	0	1
205	win	29.2	5306	33831	0	0	1
206	win	38.0	5477	48703	0	0	1
207	win	25.6	5249	33811	0	0	1
208	win	34.9	3969	42653	0	0	1
209	win	25.4	5623	32604	0	0	1
210	win	27.3	5941	34886	0	0	1
211	win	28.0	6290	38905	0	0	1
212	win	38.7	4780	39293	0	0	1
213	win	38.0	5759	47256	0	0	1
214	win	25.9	5551	32958	0	0	1
215	win	25.4	5417	30853	0	0	1
216	win	30.9	6122	38472	0	0	1
217	win	24.6	5306	33612	0	0	1
218	win	28.4	5384	30783	0	0	1
219	win	38.3	4593	42045	0	0	1
220	win	29.0	6324	43629	0	0	1
221	win	30.0	6327	32386	0	0	1
222	win	24.7	5773	29125	0	0	1
223	win	35.0	5804	60859	0	0	1
224	win	26.9	5208	30780	0	0	1
225	win	38.0	6223	52887	0	0	1
226	win	24.9	5504	40490	0	0	1
227	win	24.0	5922	32792	0	0	1
228	win	34.3	5046	37430	0	0	1
229	win	24.7	5451	33683	0	0	1
230	win	32.1	5382	39332	0	0	1
231	win	28.0	5159	31159	0	0	1
232	win	22.0	6156	28919	0	0	1
233	win	29.7	6031	37586	0	0	1
234	win	33.8	6038	46394	0	0	1
235	win	23.7	5388	32203	0	0	1
236	win	25.8	5412	30281	0	0	1
237	win	34.0	5961	39288	0	0	1
238	win	30.6	5281	33419	0	0	1
239	win	23.0	5991	29928	0	0	1
240	win	25.5	6122	29186	0	0	1
241	win	28.2	5162	39570	0	0	1
242	win	26.0	5428	35863	0	0	1
243	win	25.0	5614	34307	0	0	1
244	win	37.1	5061	45539	0	0	1
245	win	23.5	5582	33267	0	0	1
246	win	28.0	5749	34125	0	0	1
247	win	26.2	5620	31002	0	0	1
248	win	27.3	5481	30587	0	0	1
249	win	24.0	6292	27828	0	0	1
250	win	23.0	6702	39915	0	0	1
251	win	33.8	5839	39441	0	0	1
252	win	21.6	6824	30939	0	0	1
253	win	25.0	5181	32061	0	0	1
254	win	25.4	5690	30809	0	0	1
255	win	43.7	5314	54507	0	0	1
256	win	25.5	6171	36007	0	0	1
257	win	26.6	5908	36940	0	0	1
258	win	26.5	6202	37473	0	0	1
259	win	26.3	5797	37830	0	0	1
260	win	30.9	5555	37378	0	0	1
261	win	23.0	6834	37014	0	0	1
262	win	24.8	6143	34223	0	0	1
263	timeout	45.0	5005	66136	0	0	1
264	timeout	45.0	5520	42459	0	0	1
265	win	27.3	6352	40244	0	0	1
266	win	25.8	5991	36686	0	0	1
267	win	41.0	5163	44349	0	0	1
268	win	24.7	5821	33770	0	0	1
269	win	28.0	6265	36025	0	0	1
270	timeout	45.0	5926	41258	0	0	1
271	win	36.2	5306	36927	0	0	1
272	win	26.2	5990	34079	0	0	1
273	win	28.5	5399	36454	0	0	1
274	win	38.2	5003	47320	0	0	1
