seed	batch	job	kind
41	a5c7566ce6210ec0523bb713	54c8722501bd5915983dd216a8fe372e	remaining
152	832417b1a5214302f8383e8a	7cb8bf86664a59485276763be3c73e5b	remaining
170	0360cd981aa6b5742a8ef219	a61b39db026f31f8543e9d84ee52b48a	remaining
215	e5bb9a53c3478e98974b7fcf	77d0810bca21855eaaf739748b3f7d57	remaining
162	28e359b744b1a1be32347b74	38b079520d8fcd5e97ebd32111ac45c6	fix1-winner
267	f16b50fef98bee0b8df2a506	c47e28aac79b97e4cd199de5ca4bc408	fix1-winner
66	e0882cea1f7f80e43cc3ad89	3cc4213ea50e240449836ca19f61690f	fix1-winner
1	28181d0a5b59290eae1a7123	2b25b70c365f0a21dd1f076c5c25b4f3	won-control
3	4fa283ee3e7ee2ba31785c02	d8be5f1b7bfff2ed24180cfd344fd6ed	won-control
25	ce72ceba2000b63e010777ff	39d468b0f8d068a20d2bcb1f5beb2f3d	won-control
76	d94bf6c4a7a2a1c68bf98f34	9f331c18f428784cdf3a83e806946d7d	canary
140	2edc93bbdaf8d2db684d750d	0543e662a0aa92979b8872db96c4e498	canary
