seed	result	game_min	js_errors	kind
1	win	38.7	0	won-control
140	timeout	45.0	1	canary
152	timeout	45.0	0	bad
162	win	35.3	0	bad
170	timeout	45.0	0	bad
172	win	36.2	0	bad
2	win	29.3	0	canary
215	timeout	45.0	0	bad
230	win	33.4	0	bad
25	win	22.0	0	won-control
263	win	42.8	1	canary
267	win	44.8	0	bad
285	win	34.4	0	bad
3	win	26.0	0	won-control
316	win	42.2	0	bad
356	win	39.2	0	canary
373	win	40.2	1	canary
41	timeout	45.0	0	bad
66	win	32.6	0	bad
76	timeout	45.0	0	canary
