seed	batch	job	kind
41	09e90c8499c898621f20e984	2811735386bd57791e410b1e82397474	bad
66	6a5b6d31da4c8ec05dd4c30d	eb4624e3583f293c680176d75f7dc192	bad
152	9afe1c640f1207a4ba16e297	c8fbca127eb59cb2a4290c9e13f1a788	bad
162	d2129b73fe11b74b4262a7d3	cd71b9706a0f0f42bf6d022670ed0db7	bad
170	9139138c302346915d904800	4bcae2407fdd3a13ed0e59da4e19e5e1	bad
172	d47c532000636c1f53d10dd3	fe95580f3d8bfc5c29d8e0e390e53fd8	bad
215	2737590ed983ed4496afb325	c7bc35ffbb825f25ef5aba5908fcb304	bad
230	4214c5c7b953bf9e19ba91ed	8ffa86013f0d2ef92d1233eab14a4f59	bad
267	eb5c6f28a2211c2c8aef9bb7	e7eaa3c9b3c657ce86d4ac3106b56d1f	bad
285	99dcd47abd41ba21e15f1d94	2814537c44996fe9476b73732ae84148	bad
316	541987e4d571c5eca3184407	246129c13f29094215817cd9999fbb51	bad
3	78b77ca74e608cf210915a8a	f9412a2dcf926495896f6d9420d588db	won-control
25	d23606e6e39a799e46c3270c	6d2c827c4a9326f54fcdd008f9e6817d	won-control
1	51892a6e18ab0d9c61a30a48	9b00f1543765ab18ac698bd8c36a28df	won-control
2	e0dc4e034e01fa8becec44bb	05e7a83fcea842827b5114fc35d53856	canary
76	3720905725668bfce7617c09	d39aa33beb72bf6f09386779b235235e	canary
140	e135481373cbb6a10b189462	822461b744707094f3ec19848029227c	canary
263	4440dc4e57b782e5ae37d7ba	0c00f8a2fb35175c2511b1cf294da796	canary
356	1af7a776e044735fddfa53a6	b18fc06beb1a0a27c705a256c43a33ee	canary
373	f3b5d7c8b15b430ea1362752	90eeedfbc3e684a882db2b4354317ac9	canary
