seed	verdict	end_min	js_errors	failed_ai	harness	capflip	capwaive	muster	musengage	swat	caplost	capCC	capTotal	ccDestroyed
182	win	31.8	0	0	1	1	0	8	5	0	0	1	0	1
183	win	30.0	0	0	1	0	0	8	5	0	0	0	0	3
184	win	26.6	0	0	1	1	0	1	1	0	0	1	0	1
185	win	23.5	0	0	1	0	0	3	2	1	0	0	0	1
186	win	22.5	0	0	1	0	0	2	2	2	0	0	0	2
187	win	24.4	0	0	1	0	0	3	4	0	0	0	0	1
188	win	26.3	0	0	1	0	0	5	5	1	0	0	0	2
189	win	26.5	0	0	1	0	0	12	7	0	0	0	0	2
190	win	43.0	0	0	1	0	0	6	6	1	0	0	0	3
191	win	28.0	0	0	1	0	0	11	5	0	0	0	0	2
192	win	34.0	0	0	1	0	0	9	8	2	0	0	0	1
193	win	35.4	0	0	1	0	0	26	24	0	0	1	0	1
194	win	39.8	0	0	1	1	0	11	10	1	0	0	0	2
195	win	23.0	0	0	1	0	0	4	3	0	0	0	0	2
196	win	25.1	0	0	1	1	0	2	4	1	0	1	0	1
197	win	28.0	0	0	1	0	1	2	3	1	0	0	0	3
198	win	24.0	0	0	1	0	0	4	4	1	0	0	0	2
199	win	27.2	0	0	1	0	0	4	4	1	0	0	0	2
200	win	33.5	0	0	1	0	0	11	8	4	0	0	0	1
