seed	verdict	end_min	js_errors	failed_ai	harness	capflip	capwaive	caphold	capdel	caplost	capscorch	capCC	capTotal	ccDestroyed
1	win	42.1	0	0	1	0	0	0	0	0	0	0	0	2
2	win	34.7	0	0	1	0	0	0	0	0	0	0	0	2
3	win	27.1	0	0	1	0	0	0	0	0	0	0	0	2
4	win	25.4	0	0	1	0	0	0	0	0	0	0	0	3
5	win	34.7	0	0	1	0	0	0	0	0	0	0	0	2
6	win	27.2	0	0	1	0	0	0	0	0	0	0	0	2
7	win	34.7	0	0	1	0	0	0	0	0	0	0	0	2
8	win	31.0	0	0	1	0	0	0	0	0	0	0	0	2
9	win	35.3	0	0	1	0	0	0	0	0	0	0	0	2
10	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
11	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	0
12	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
13	win	39.7	0	0	1	0	0	0	0	0	0	0	0	3
14	win	23.9	0	0	1	0	0	0	0	0	0	0	0	1
15	win	27.2	0	0	1	0	0	0	0	0	0	0	0	2
16	win	27.2	0	0	1	0	0	0	0	0	0	0	0	1
17	win	32.2	0	0	1	0	0	0	0	0	0	0	0	2
18	win	28.4	0	0	1	0	0	0	0	0	0	0	0	2
19	win	25.7	0	0	1	0	0	0	0	0	0	0	0	2
20	win	29.0	0	0	1	0	0	0	0	0	0	0	0	2
21	win	28.0	0	0	1	0	0	0	0	0	0	0	0	1
22	win	26.3	0	0	1	0	0	0	0	0	0	0	0	2
23	win	34.0	0	0	1	0	0	0	0	0	0	0	0	2
24	win	23.0	0	0	1	0	0	0	0	0	0	0	0	2
25	win	23.4	0	0	1	0	0	0	0	0	0	0	0	2
26	win	23.1	0	0	1	0	0	0	0	0	0	0	0	2
27	win	26.0	0	0	1	0	0	0	0	0	0	0	0	2
28	win	33.0	0	0	1	0	0	0	0	0	0	0	0	1
29	win	24.3	0	0	1	0	0	0	0	0	0	0	0	1
30	win	35.5	0	0	1	0	0	0	0	0	0	0	0	2
31	win	23.0	0	0	1	0	0	0	0	0	0	0	0	1
32	win	28.7	0	0	1	0	0	0	0	0	0	0	0	2
33	win	25.8	0	0	1	0	0	0	0	0	0	0	0	2
34	win	31.8	0	0	1	0	0	0	0	0	0	0	0	2
35	win	34.0	0	0	1	0	0	0	0	0	0	0	0	2
36	win	28.9	0	0	1	0	0	0	0	0	0	0	0	2
37	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
38	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
39	win	38.0	0	0	1	0	0	0	0	0	0	0	0	2
40	win	27.4	0	0	1	0	0	0	0	0	0	0	0	2
41	win	41.4	0	0	1	0	0	0	0	0	0	0	0	2
42	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
43	win	22.1	0	0	1	0	0	0	0	0	0	0	0	2
44	win	28.8	0	0	1	0	0	0	0	0	0	0	0	2
45	win	34.5	0	0	1	0	0	0	0	0	0	0	0	2
46	win	26.8	0	0	1	0	0	0	0	0	0	0	0	3
47	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	1
48	win	21.5	0	0	1	0	0	0	0	0	0	0	0	1
49	win	35.9	0	0	1	0	0	0	0	0	0	0	0	2
50	win	27.3	0	0	1	0	0	0	0	0	0	0	0	1
51	win	43.7	0	0	1	0	0	0	0	0	0	0	0	3
52	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	1
53	win	24.2	0	0	1	0	0	0	0	0	0	0	0	2
54	win	29.9	0	0	1	0	0	0	0	0	0	0	0	2
55	win	32.4	0	0	1	0	0	0	0	0	0	0	0	2
56	win	27.4	0	0	1	0	0	0	0	0	0	0	0	1
57	win	26.9	0	0	1	0	0	0	0	0	0	0	0	2
58	win	25.4	0	0	1	0	0	0	0	0	0	0	0	2
59	win	23.2	0	0	1	0	0	0	0	0	0	0	0	2
60	win	30.4	0	0	1	0	0	0	0	0	0	0	0	2
61	loss	30.4	0	0	1	0	0	0	0	0	0	0	0	0
62	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
63	win	33.0	0	0	1	0	0	0	0	0	0	0	0	1
64	win	29.8	0	0	1	0	0	0	0	0	0	0	0	1
65	win	38.1	0	0	1	0	0	0	0	0	0	0	0	3
66	win	38.9	0	0	1	0	0	0	0	0	0	0	0	3
67	win	25.7	0	0	1	0	0	0	0	0	0	0	0	2
68	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
69	loss	36.4	0	0	1	0	0	0	0	0	0	0	0	0
70	win	38.3	0	0	1	0	0	0	0	0	0	0	0	2
71	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
72	win	28.2	0	0	1	0	0	0	0	0	0	0	0	2
73	win	25.7	0	0	1	0	0	0	0	0	0	0	0	1
74	win	30.2	0	0	1	0	0	0	0	0	0	0	0	2
75	win	24.6	0	0	1	0	0	0	0	0	0	0	0	2
76	win	35.8	0	0	1	0	0	0	0	0	0	0	0	2
77	win	31.3	0	0	1	0	0	0	0	0	0	0	0	2
78	win	23.1	0	0	1	0	0	0	0	0	0	0	0	2
79	win	30.4	0	0	1	0	0	0	0	0	0	0	0	2
80	win	29.8	0	0	1	0	0	0	0	0	0	0	0	2
81	win	26.1	0	0	1	0	0	0	0	0	0	0	0	2
82	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
83	win	25.0	0	0	1	0	0	0	0	0	0	0	0	2
84	win	23.3	0	0	1	0	0	0	0	0	0	0	0	1
85	win	29.7	0	0	1	0	0	0	0	0	0	0	0	2
86	win	30.3	0	0	1	0	0	0	0	0	0	0	0	3
87	win	28.8	0	0	1	0	0	0	0	0	0	0	0	3
88	win	33.7	0	0	1	0	0	0	0	0	0	0	0	2
89	win	36.4	0	0	1	0	0	0	0	0	0	0	0	2
90	win	30.1	0	0	1	0	0	0	0	0	0	0	0	2
91	win	29.0	0	0	1	0	0	0	0	0	0	0	0	2
92	win	24.1	0	0	1	0	0	0	0	0	0	0	0	2
93	win	29.6	0	0	1	0	0	0	0	0	0	0	0	1
94	win	24.5	0	0	1	0	0	0	0	0	0	0	0	1
95	win	33.0	0	0	1	0	0	0	0	0	0	0	0	2
96	win	30.5	0	0	1	0	0	0	0	0	0	0	0	2
97	win	26.2	0	0	1	0	0	0	0	0	0	0	0	2
98	win	23.1	0	0	1	0	0	0	0	0	0	0	0	2
99	win	31.7	0	0	1	0	0	0	0	0	0	0	0	2
100	win	23.9	0	0	1	0	0	0	0	0	0	0	0	1
101	win	26.9	0	0	1	0	0	0	0	0	0	0	0	2
102	win	39.4	0	0	1	0	0	0	0	0	0	0	0	3
103	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	0
104	win	26.0	0	0	1	0	0	0	0	0	0	0	0	2
105	win	38.8	0	0	1	0	0	0	0	0	0	0	0	2
106	win	31.3	0	0	1	0	0	0	0	0	0	0	0	2
107	win	25.9	0	0	1	0	0	0	0	0	0	0	0	2
108	win	31.6	0	0	1	0	0	0	0	0	0	0	0	2
109	win	33.5	0	0	1	0	0	0	0	0	0	0	0	3
110	win	44.4	0	0	1	0	0	0	0	0	0	0	0	2
111	win	36.7	0	0	1	0	0	0	0	0	0	0	0	2
112	win	24.6	0	0	1	0	0	0	0	0	0	0	0	2
113	loss	33.0	0	0	1	0	0	0	0	0	0	0	0	0
114	win	24.0	0	0	1	0	0	0	0	0	0	0	0	2
115	win	33.4	0	0	1	0	0	0	0	0	0	0	0	2
116	win	30.7	0	0	1	0	0	0	0	0	0	0	0	2
117	win	31.5	0	0	1	0	0	0	0	0	0	0	0	3
118	win	25.8	0	0	1	0	0	0	0	0	0	0	0	2
119	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
120	win	30.6	0	0	1	0	0	0	0	0	0	0	0	2
121	win	38.3	0	0	1	0	0	0	0	0	0	0	0	3
122	win	29.5	0	0	1	0	0	0	0	0	0	0	0	2
123	win	30.4	0	0	1	0	0	0	0	0	0	0	0	2
124	win	25.6	0	0	1	0	0	0	0	0	0	0	0	1
125	win	32.2	0	0	1	0	0	0	0	0	0	0	0	2
126	win	28.1	0	0	1	0	0	0	0	0	0	0	0	2
127	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	0
128	win	29.5	0	0	1	0	0	0	0	0	0	0	0	1
129	win	36.3	0	0	1	0	0	0	0	0	0	0	0	2
130	win	31.9	0	0	1	0	0	0	0	0	0	0	0	2
131	win	25.9	0	0	1	0	0	0	0	0	0	0	0	2
132	win	26.5	0	0	1	0	0	0	0	0	0	0	0	2
133	win	24.8	0	0	1	0	0	0	0	0	0	0	0	2
134	win	33.0	0	0	1	0	0	0	0	0	0	0	0	1
135	win	28.1	0	0	1	0	0	0	0	0	0	0	0	2
136	win	23.7	0	0	1	0	0	0	0	0	0	0	0	1
137	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
138	win	26.0	0	0	1	0	0	0	0	0	0	0	0	2
139	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	0
140	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
141	win	38.3	0	0	1	0	0	0	0	0	0	0	0	2
