seed	verdict	end_min	js_errors	failed_ai	harness	capflip	capwaive	caphold	capdel	caplost	capscorch	capCC	capTotal	ccDestroyed
1	win	42.2	0	0	1	0	0	0	0	0	0	0	0	2
2	win	34.7	0	0	1	0	0	0	0	0	0	0	0	2
3	win	27.3	0	0	1	0	0	0	0	0	0	0	0	2
4	win	25.2	0	0	1	0	0	0	0	0	0	0	0	3
5	win	34.7	0	0	1	0	0	0	0	0	0	0	0	2
6	win	27.2	0	0	1	0	0	0	0	0	0	0	0	2
7	win	36.1	0	0	1	1	1	1	0	0	0	1	0	1
8	win	31.1	0	0	1	1	0	1	0	0	0	1	0	1
9	win	37.2	0	0	1	0	1	0	0	0	0	0	0	2
10	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
11	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	0
12	win	28.0	0	0	1	0	0	0	0	0	0	1	0	1
13	win	39.6	0	0	1	1	0	1	0	0	0	1	0	2
14	win	23.9	0	0	1	0	0	0	0	0	0	0	0	1
15	win	27.2	0	0	1	0	0	0	0	0	0	0	0	2
16	win	27.3	0	0	1	0	0	0	0	0	0	0	0	1
17	win	32.1	0	0	1	1	0	1	0	0	0	1	0	1
18	win	28.7	0	0	1	1	0	1	0	0	0	1	0	1
19	win	25.2	0	0	1	1	0	1	0	0	0	1	0	1
20	win	28.4	0	0	1	0	0	0	0	0	0	0	0	2
21	win	28.0	0	0	1	0	0	0	0	0	0	0	0	1
22	win	26.1	0	0	1	1	0	1	0	0	0	1	0	1
23	win	35.3	0	0	1	0	0	0	0	0	0	0	0	2
24	win	23.0	0	0	1	0	0	0	0	0	0	0	0	2
25	win	23.3	0	0	1	0	0	0	0	0	0	0	0	2
26	win	23.1	0	0	1	0	0	0	0	0	0	0	0	2
27	win	25.7	0	0	1	0	0	0	0	0	0	0	0	2
28	win	33.0	0	0	1	0	0	0	0	0	0	0	0	1
29	win	24.3	0	0	1	0	0	0	0	0	0	0	0	1
30	win	35.3	0	0	1	1	0	1	0	0	0	1	0	1
31	win	23.0	0	0	1	0	0	0	0	0	0	0	0	1
32	win	28.4	0	0	1	0	0	0	0	0	0	0	0	2
33	win	25.8	0	0	1	0	0	0	0	0	0	0	0	2
34	win	31.7	0	0	1	0	0	0	0	0	0	0	0	2
35	win	34.0	0	0	1	0	0	0	0	0	0	0	0	2
36	win	31.3	0	0	1	1	0	1	0	0	0	1	0	0
37	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
38	win	27.5	0	0	1	0	0	0	0	0	0	0	0	2
39	win	38.0	0	0	1	0	0	0	0	0	0	0	0	2
40	win	27.4	0	0	1	1	0	1	0	0	0	1	0	1
41	win	41.5	0	0	1	0	0	0	0	0	0	0	0	2
42	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
43	win	23.0	0	0	1	0	0	0	0	0	0	0	0	2
44	win	28.8	0	0	1	0	0	0	0	0	0	0	0	2
45	win	34.5	0	0	1	0	0	0	0	0	0	0	0	2
46	win	27.1	0	0	1	2	0	2	0	0	0	2	0	0
47	win	44.7	0	0	1	1	0	1	0	0	0	1	0	1
48	win	21.5	0	0	1	0	0	0	0	0	0	0	0	1
49	win	35.9	0	0	1	0	0	0	0	0	0	0	0	2
50	win	27.3	0	0	1	0	0	0	0	0	0	0	0	1
51	win	43.9	0	0	1	0	0	0	0	0	0	0	0	3
52	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	1
53	win	24.0	0	0	1	1	0	1	0	0	0	1	0	1
54	win	30.1	0	0	1	1	0	1	0	0	0	1	0	1
55	win	32.4	0	0	1	0	0	0	0	0	0	0	0	2
56	win	27.4	0	0	1	0	0	0	0	0	0	0	0	1
57	win	26.9	0	0	1	0	0	0	0	0	0	0	0	2
58	win	25.4	0	0	1	0	0	0	0	0	0	0	0	2
59	win	23.0	0	0	1	0	0	0	0	0	0	0	0	2
60	win	30.4	0	0	1	0	0	0	0	0	0	0	0	2
61	loss	30.4	0	0	1	0	0	0	0	0	0	0	0	0
62	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
63	win	33.1	0	0	1	0	0	0	0	0	0	0	0	0
64	win	29.8	0	0	1	0	0	0	0	0	0	0	0	1
65	win	37.1	0	0	1	1	0	1	0	0	0	1	0	2
66	win	39.1	0	0	1	1	0	1	0	0	0	1	0	2
67	win	25.7	0	0	1	0	0	0	0	0	0	0	0	2
68	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
69	loss	36.4	0	0	1	0	0	0	0	0	0	0	0	0
70	win	38.3	0	0	1	0	0	0	0	0	0	0	0	2
